Title, Time, Views 
Clash of Clans: The Giant's Surprise (Builder Has Left Week 2) - Duration: 0:41.,23 hours ago,13 145 856 views
stupid chicken - Duration: 1:40.,10 months ago,317 369 views
Sea Creature Adventure! - Duration: 14:09.,19 hours ago,1 008 972 views
Maluma - Felices los 4 (Salsa Version)[Official Video] ft. Marc Anthony - Duration: 5:13.,23 hours ago,3 836 821 views
INSANE VIDEO: Train plows through straight through semi - Duration: 0:19.,1 day ago,532 951 views
THE DEATH OF STALIN - OFFICIAL TRAILER [HD] - Duration: 2:28.,21 hours ago,485 965 views
When you realize the robots will steal your job - Duration: 0:15.,12 hours ago,60 667 views
Kesha - Rainbow (Official Video) - Duration: 4:18.,23 hours ago,1 555 528 views
DJ Khaled - Behind the Scenes of Wild Thoughts: Part 2 ft. Rihanna| Bryson Tiller - Duration: 1:03.,20 hours ago,290 348 views
Minor Accident| no one was hurt ; ) - Duration: 8:50.,1 day ago,1 537 641 views
THE REASON I DON'T DRINK... TEA WITH LIZA - Duration: 4:21.,1 day ago,4 528 673 views
Fifth Harmony - Angel - Duration: 3:22.,17 hours ago,2 925 711 views
The DEADLY Physics of Doomfist! | The SCIENCE!... of Overwatch - Duration: 19:04.,1 day ago,1 228 764 views
MCDONALD'S SRIRACHA MAC SAUCE TASTE TEST!!! - Duration: 10:10.,1 day ago,465 673 views
Any Regrets from Surgery? Recovery Time - Duration: 9:29.,20 hours ago,631 515 views
What Happens If We Throw an Elephant From a Skyscraper? Life & Size 1 - Duration: 6:40.,1 day ago,2 938 664 views
Password with Anthony Anderson| Terry Gross and Kesha - Duration: 6:22.,1 day ago,366 266 views
Thomas Rhett - Sixteen (Lyric Version) - Duration: 3:04.,1 day ago,156 355 views
P!nk - What About Us (Lyric Video) - Duration: 4:30.,1 day ago,2 470 023 views
Adam Ruins Everything - The Real Reason Behind King Tut’s Fame | truTV - Duration: 1:49.,1 day ago,633 637 views
Millie Bobby Brown Wants To Co-Host The Emmys With Stephen - Duration: 9:11.,23 hours ago,474 419 views
JAY-Z - Moonlight - Duration: 7:26.,1 day ago,1 207 815 views
Adam Savage and Vsauce's Michael Stevens Build a Kendama! - Duration: 58:11.,16 hours ago,329 923 views
Products I've Used Up + Would I Repurchase?! - Duration: 16:31.,17 hours ago,321 652 views
HEARTTHROB by SUPERFRUIT - Duration: 3:08.,14 hours ago,198 516 views
3 Easy DIY Treats for Your Dog - Duration: 7:52.,1 day ago,441 262 views
OpenAI + Dota 2 - Duration: 3:21.,6 hours ago,61 744 views
How Harry Potter Will Show Up In Fantastic Beasts - Duration: 7:38.,1 day ago,267 579 views
Hoarding - Duration: 7:11.,1 day ago,1 529 522 views
Upchurch "Radio Jam" (Official Music Video) - Duration: 3:48.,1 day ago,290 156 views
Everything Wrong With The Nut Job In 11 Minutes Or Less - Duration: 11:04.,1 day ago,1 084 268 views
Game of Jones: Leslie Jones and Seth Return to Watch Game of Thrones - Duration: 9:43.,2 days ago,1 807 014 views
"Jersey Shore" Reunites on "Reunion Road Trip" on E! | E! - Duration: 0:16.,14 hours ago,45 408 views
First Day of School: EXPECTATION vs REALITY! - Duration: 10:30.,1 day ago,354 653 views
Crushing Power Bank with Hydraulic Press | HUGE EXPLOSION! - Duration: 10:04.,16 hours ago,240 749 views
Marshmello ft. Khalid - Silence (Official Lyric Video) - Duration: 3:07.,17 hours ago,1 208 906 views
Jeremy Renner Is Grumpy Cat - Duration: 1:38.,22 hours ago,119 816 views
The Crown | Season 2 Teaser [HD] | Netflix - Duration: 1:34.,1 day ago,622 657 views
How To Make A-MAZING Jerk Chicken - Duration: 8:07.,15 hours ago,63 248 views
5 mind-bending CHOCOLATE Decorations | How To Cook That Ann Reardon - Duration: 6:26.,21 hours ago,138 367 views
14 Chicago Hot Dogs in 12 Hours. Which is the Best? | Bon Appétit - Duration: 12:35.,1 day ago,120 944 views
Wanna See the Solar Eclipse? Here's What You Have to Know | WIRED - Duration: 1:59.,1 day ago,103 931 views
The Journey of a Beef Cow - Duration: 4:25.,2 days ago,408 616 views
MAKEUP FOR DULL & BLEMISHED SKIN DAYS | heyclaire - Duration: 18:50.,1 day ago,106 168 views
THE TRUTH ABOUT EXTENDED WARRANTY! - Duration: 7:15.,1 day ago,1 017 941 views
My Random Thoughts (James Edition) - Duration: 8:22.,2 days ago,2 739 420 views
BBC worker spotted watching inappropriate video - Duration: 0:13.,3 days ago,3 387 826 views
Queens of the Stone Age - The Evil Has Landed (Audio) - Duration: 6:31.,1 day ago,468 027 views
Travis Greene - Fell in Love (feat. Dante Bowe) [Live] ft. Dante Bowe - Duration: 4:15.,23 hours ago,25 612 views
Clash of Clans: Bye Bye Builder! - Duration: 1:23.,1 week ago,46 397 812 views
Border Patrol: Last Week Tonight with John Oliver (HBO) - Duration: 20:21.,5 days ago,4 334 628 views
Game of Thrones: Season 7 Episode 5 Preview (HBO) - Duration: 0:31.,5 days ago,10 816 091 views
I'M RELEASING THE 3RD VERSE **not clickbait** - Duration: 18:37.,5 days ago,6 513 707 views
Trump Goes on Vacation While His Team Debuts So-Called "Real News": A Closer Look - Duration: 11:54.,4 days ago,2 812 200 views
Brighton Beach 'Critters' Swarm For Meat After Feasting on Teen's Leg - Duration: 0:51.,5 days ago,6 674 768 views
Game Of Thrones Season 7 Episode 4 - TOP 10 WTF and Easter Eggs - Duration: 14:58.,5 days ago,1 999 827 views
